iter	Passed	Remaining
0	1	1875
1	3	1992
2	6	2071
3	8	2205
4	10	2122
5	12	2065
6	14	2050
7	16	2062
8	18	2054
9	20	2040
10	22	2014
11	24	1987
12	25	1965
13	27	1953
14	29	1953
15	31	1950
16	33	1937
17	35	1927
18	37	1913
19	38	1902
20	40	1888
21	42	1875
22	44	1888
23	46	1902
24	48	1909
25	50	1906
26	52	1907
27	54	1907
28	56	1904
29	58	1893
30	60	1884
31	62	1889
32	64	1892
33	66	1895
34	68	1889
35	70	1884
36	72	1880
37	74	1878
38	76	1873
39	78	1879
40	80	1883
41	82	1879
42	84	1874
43	85	1865
44	87	1858
45	89	1857
46	91	1852
47	93	1854
48	95	1856
49	97	1855
50	99	1853
51	101	1855
52	103	1853
53	105	1847
54	107	1845
55	109	1841
56	111	1842
57	113	1843
58	115	1841
59	117	1845
60	119	1842
61	121	1839
62	123	1835
63	125	1832
64	127	1830
65	129	1833
66	131	1830
67	133	1827
68	135	1822
69	137	1822
70	138	1818
71	140	1813
72	143	1817
73	145	1818
74	147	1816
75	149	1814
76	151	1810
77	153	1810
78	155	1807
79	156	1804
80	159	1805
81	161	1808
82	163	1806
83	165	1801
84	167	1800
85	169	1797
86	170	1792
87	172	1789
88	174	1787
89	176	1785
90	178	1784
91	180	1778
92	181	1774
93	183	1770
94	185	1767
95	187	1762
96	188	1757
97	190	1753
98	192	1750
99	194	1750
100	196	1748
101	198	1745
102	200	1745
103	202	1742
104	204	1739
105	205	1735
106	207	1732
107	209	1731
108	211	1729
109	213	1724
110	214	1721
111	216	1717
112	218	1716
113	220	1713
114	223	1719
115	225	1717
116	227	1714
117	228	1710
118	230	1709
119	232	1706
120	234	1703
121	236	1700
122	238	1698
123	240	1695
124	241	1693
125	243	1692
126	245	1690
127	247	1688
128	249	1684
129	251	1680
130	252	1677
131	254	1673
132	256	1670
133	258	1667
134	260	1667
135	262	1666
136	264	1663
137	266	1662
138	267	1659
139	269	1656
140	272	1657
141	274	1656
142	276	1654
143	278	1652
144	280	1653
145	282	1651
146	284	1648
147	285	1645
148	287	1642
149	289	1639
150	291	1636
151	292	1633
152	294	1630
153	296	1629
154	298	1627
155	300	1625
156	302	1623
157	304	1620
158	306	1618
159	307	1615
160	309	1613
161	311	1610
162	313	1608
163	314	1605
164	316	1602
165	318	1598
166	319	1595
167	321	1594
168	323	1592
169	325	1590
170	327	1588
171	329	1587
172	331	1585
173	334	1586
174	336	1585
175	338	1583
176	340	1582
177	342	1583
178	344	1581
179	346	1579
180	348	1576
181	350	1573
182	351	1570
183	353	1567
184	355	1564
185	357	1563
186	359	1561
187	360	1558
188	362	1556
189	364	1553
190	366	1550
191	368	1549
192	370	1549
193	372	1546
194	374	1544
195	375	1541
196	377	1538
197	379	1535
198	380	1533
199	382	1530
200	384	1529
201	386	1527
202	388	1525
203	390	1523
204	392	1520
205	393	1518
206	395	1515
207	397	1513
208	398	1510
209	400	1507
210	402	1504
211	404	1502
212	406	1500
213	408	1501
214	410	1499
215	412	1496
216	413	1493
217	415	1491
218	417	1488
219	419	1485
220	421	1484
221	423	1482
222	425	1483
223	427	1482
224	429	1479
225	431	1478
226	433	1475
227	434	1472
228	436	1470
